VGS,VDS,ID
1.0084030000E+00,6.0000000000E+01,7.7600000000E-09
2.0168070000E+00,6.0000000000E+01,5.8000000000E-09
3.0252100000E+00,6.0000000000E+01,2.1800000000E-09
4.0336130000E+00,6.0000000000E+01,1.0900000000E-09
5.0420170000E+00,6.0000000000E+01,6.5800000000E-10
6.0504200000E+00,6.0000000000E+01,3.4300000000E-10
7.0588240000E+00,6.0000000000E+01,4.0400000000E-11
8.0672270000E+00,6.0000000000E+01,2.5500000000E-10
9.0756300000E+00,6.0000000000E+01,4.9800000000E-10
1.0084034000E+01,6.0000000000E+01,7.4600000000E-10
1.1092437000E+01,6.0000000000E+01,9.6700000000E-10
1.2100840000E+01,6.0000000000E+01,1.0400000000E-09
1.3109244000E+01,6.0000000000E+01,1.1900000000E-09
1.4117647000E+01,6.0000000000E+01,1.3000000000E-09
1.5126050000E+01,6.0000000000E+01,1.3300000000E-09
1.6134454000E+01,6.0000000000E+01,1.4800000000E-09
1.7142857000E+01,6.0000000000E+01,1.4800000000E-09
1.8151261000E+01,6.0000000000E+01,1.2800000000E-09
1.9159664000E+01,6.0000000000E+01,9.4900000000E-10
2.0168067000E+01,6.0000000000E+01,8.0300000000E-10
2.1176471000E+01,6.0000000000E+01,2.7400000000E-10
2.2184874000E+01,6.0000000000E+01,2.5800000000E-10
2.3193277000E+01,6.0000000000E+01,1.0600000000E-09
2.4201681000E+01,6.0000000000E+01,2.5400000000E-09
2.5210084000E+01,6.0000000000E+01,5.5500000000E-09
2.6218487000E+01,6.0000000000E+01,1.0300000000E-08
2.7226891000E+01,6.0000000000E+01,1.5500000000E-08
2.8235294000E+01,6.0000000000E+01,2.1400000000E-08
2.9243697000E+01,6.0000000000E+01,2.8800000000E-08
3.0252101000E+01,6.0000000000E+01,3.7300000000E-08
3.1260504000E+01,6.0000000000E+01,4.7800000000E-08
3.2268908000E+01,6.0000000000E+01,6.1100000000E-08
3.3277311000E+01,6.0000000000E+01,7.4200000000E-08
3.4285714000E+01,6.0000000000E+01,9.0600000000E-08
3.5294118000E+01,6.0000000000E+01,1.1400000000E-07
3.6302521000E+01,6.0000000000E+01,1.4000000000E-07
3.7310924000E+01,6.0000000000E+01,1.6800000000E-07
3.8319328000E+01,6.0000000000E+01,2.0100000000E-07
3.9327731000E+01,6.0000000000E+01,2.3900000000E-07
4.0336134000E+01,6.0000000000E+01,2.8200000000E-07
4.1344538000E+01,6.0000000000E+01,3.2900000000E-07
4.2352941000E+01,6.0000000000E+01,3.8100000000E-07
4.3361345000E+01,6.0000000000E+01,4.4000000000E-07
4.4369748000E+01,6.0000000000E+01,5.0500000000E-07
4.5378151000E+01,6.0000000000E+01,5.7100000000E-07
4.6386555000E+01,6.0000000000E+01,6.6800000000E-07
4.7394958000E+01,6.0000000000E+01,7.4800000000E-07
4.8403361000E+01,6.0000000000E+01,8.7500000000E-07
4.9411765000E+01,6.0000000000E+01,1.0000000000E-06
5.0420168000E+01,6.0000000000E+01,1.1300000000E-06
5.1428571000E+01,6.0000000000E+01,1.2700000000E-06
5.2436975000E+01,6.0000000000E+01,1.4300000000E-06
5.3445378000E+01,6.0000000000E+01,1.6000000000E-06
5.4453782000E+01,6.0000000000E+01,1.7900000000E-06
5.5462185000E+01,6.0000000000E+01,1.9800000000E-06
5.6470588000E+01,6.0000000000E+01,2.2000000000E-06
5.7478992000E+01,6.0000000000E+01,2.4400000000E-06
5.8487395000E+01,6.0000000000E+01,2.7000000000E-06
5.9495798000E+01,6.0000000000E+01,2.9800000000E-06
6.0504202000E+01,6.0000000000E+01,3.2900000000E-06
