VGS,VDS,ID
V,V,A
45.0000E+0, 0,-5.81E-02
45.0000E+0, 0.49505,-1.92E-03
45.0000E+0, 0.990099,5.20E-03
45.0000E+0, 1.485149,1.26E-02
45.0000E+0, 1.980198,1.62E-02
45.0000E+0, 2.475248,2.13E-02
45.0000E+0, 2.970297,2.91E-02
45.0000E+0, 3.465347,4.00E-02
45.0000E+0, 3.960396,5.44E-02
45.0000E+0, 4.455446,7.24E-02
45.0000E+0, 4.950495,9.38E-02
45.0000E+0, 5.445545,1.15E-01
45.0000E+0, 5.940594,1.43E-01
45.0000E+0, 6.435644,1.71E-01
45.0000E+0, 6.930693,1.99E-01
45.0000E+0, 7.425743,2.27E-01
45.0000E+0, 7.920792,2.54E-01
45.0000E+0, 8.415842,2.79E-01
45.0000E+0, 8.910891,3.02E-01
45.0000E+0, 9.405941,3.22E-01
45.0000E+0, 9.90099,3.39E-01
45.0000E+0, 10.39604,3.53E-01
45.0000E+0, 10.891089,3.64E-01
45.0000E+0, 11.386139,3.74E-01
45.0000E+0, 11.881188,3.82E-01
45.0000E+0, 12.376238,3.88E-01
45.0000E+0, 12.871287,3.94E-01
45.0000E+0, 13.366337,3.98E-01
45.0000E+0, 13.861386,4.02E-01
45.0000E+0, 14.356436,4.05E-01
45.0000E+0, 14.851485,4.08E-01
45.0000E+0, 15.346535,4.10E-01
45.0000E+0, 15.841584,4.12E-01
45.0000E+0, 16.336634,4.14E-01
45.0000E+0, 16.831683,4.16E-01
45.0000E+0, 17.326733,4.17E-01
45.0000E+0, 17.821782,4.19E-01
45.0000E+0, 18.316832,4.19E-01
45.0000E+0, 18.811881,4.20E-01
45.0000E+0, 19.306931,4.21E-01
45.0000E+0, 19.80198,4.21E-01
45.0000E+0, 20.29703,4.21E-01
45.0000E+0, 20.792079,4.21E-01
45.0000E+0, 21.287129,4.21E-01
45.0000E+0, 21.782178,4.21E-01
45.0000E+0, 22.277228,4.21E-01
45.0000E+0, 22.772277,4.21E-01
45.0000E+0, 23.267327,4.20E-01
45.0000E+0, 23.762376,4.19E-01
45.0000E+0, 24.257426,4.19E-01
45.0000E+0, 24.752475,4.19E-01
45.0000E+0, 25.247525,4.18E-01
45.0000E+0, 25.742574,4.17E-01
45.0000E+0, 26.237624,4.16E-01
45.0000E+0, 26.732673,4.15E-01
45.0000E+0, 27.227723,4.14E-01
45.0000E+0, 27.722772,4.14E-01
45.0000E+0, 28.217822,4.12E-01
45.0000E+0, 28.712871,4.11E-01
45.0000E+0, 29.207921,4.11E-01
45.0000E+0, 29.70297,4.09E-01
45.0000E+0, 30.19802,4.08E-01
45.0000E+0, 30.693069,4.07E-01
45.0000E+0, 31.188119,4.06E-01
45.0000E+0, 31.683168,4.04E-01
45.0000E+0, 32.178218,4.04E-01
45.0000E+0, 32.673267,4.02E-01
45.0000E+0, 33.168317,4.01E-01
45.0000E+0, 33.663366,4.00E-01
45.0000E+0, 34.158416,3.99E-01
45.0000E+0, 34.653465,3.98E-01
45.0000E+0, 35.148515,3.96E-01
45.0000E+0, 35.643564,3.95E-01
45.0000E+0, 36.138614,3.94E-01
45.0000E+0, 36.633663,3.93E-01
45.0000E+0, 37.128713,3.92E-01
45.0000E+0, 37.623762,3.91E-01
45.0000E+0, 38.118812,3.90E-01
45.0000E+0, 38.613861,3.88E-01
45.0000E+0, 39.108911,3.87E-01
45.0000E+0, 39.60396,3.86E-01
45.0000E+0, 40.09901,3.85E-01
45.0000E+0, 40.594059,3.84E-01
45.0000E+0, 41.089109,3.83E-01
45.0000E+0, 41.584158,3.82E-01
45.0000E+0, 42.079208,3.81E-01
45.0000E+0, 42.574257,3.80E-01
45.0000E+0, 43.069307,3.79E-01
45.0000E+0, 43.564356,3.78E-01
45.0000E+0, 44.059406,3.77E-01
45.0000E+0, 44.554455,3.76E-01
45.0000E+0, 45.049505,3.75E-01
45.0000E+0, 45.544554,3.74E-01
45.0000E+0, 46.039604,3.73E-01
45.0000E+0, 46.534653,3.72E-01
45.0000E+0, 47.029703,3.71E-01
45.0000E+0, 47.524752,3.70E-01
45.0000E+0, 48.019802,3.69E-01
45.0000E+0, 48.514851,3.68E-01
45.0000E+0, 49.009901,3.67E-01
45.0000E+0, 49.50495,3.66E-01
45.0000E+0, 50,3.66E-01
