VDS,VGS,ID
V,V,A
60.0000E+0, 1.008403,7.76E-09
60.0000E+0, 2.016807,5.80E-09
60.0000E+0, 3.02521,2.18E-09
60.0000E+0, 4.033613,1.09E-09
60.0000E+0, 5.042017,6.58E-10
60.0000E+0, 6.05042,3.43E-10
60.0000E+0, 7.058824,4.04E-11
60.0000E+0, 8.067227,2.55E-10
60.0000E+0, 9.07563,4.98E-10
60.0000E+0, 10.084034,7.46E-10
60.0000E+0, 11.092437,9.67E-10
60.0000E+0, 12.10084,1.04E-09
60.0000E+0, 13.109244,1.19E-09
60.0000E+0, 14.117647,1.30E-09
60.0000E+0, 15.12605,1.33E-09
60.0000E+0, 16.134454,1.48E-09
60.0000E+0, 17.142857,1.48E-09
60.0000E+0, 18.151261,1.28E-09
60.0000E+0, 19.159664,9.49E-10
60.0000E+0, 20.168067,8.03E-10
60.0000E+0, 21.176471,2.74E-10
60.0000E+0, 22.184874,2.58E-10
60.0000E+0, 23.193277,1.06E-09
60.0000E+0, 24.201681,2.54E-09
60.0000E+0, 25.210084,5.55E-09
60.0000E+0, 26.218487,1.03E-08
60.0000E+0, 27.226891,1.55E-08
60.0000E+0, 28.235294,2.14E-08
60.0000E+0, 29.243697,2.88E-08
60.0000E+0, 30.252101,3.73E-08
60.0000E+0, 31.260504,4.78E-08
60.0000E+0, 32.268908,6.11E-08
60.0000E+0, 33.277311,7.42E-08
60.0000E+0, 34.285714,9.06E-08
60.0000E+0, 35.294118,1.14E-07
60.0000E+0, 36.302521,1.40E-07
60.0000E+0, 37.310924,1.68E-07
60.0000E+0, 38.319328,2.01E-07
60.0000E+0, 39.327731,2.39E-07
60.0000E+0, 40.336134,2.82E-07
60.0000E+0, 41.344538,3.29E-07
60.0000E+0, 42.352941,3.81E-07
60.0000E+0, 43.361345,4.40E-07
60.0000E+0, 44.369748,5.05E-07
60.0000E+0, 45.378151,5.71E-07
60.0000E+0, 46.386555,6.68E-07
60.0000E+0, 47.394958,7.48E-07
60.0000E+0, 48.403361,8.75E-07
60.0000E+0, 49.411765,1.00E-06
60.0000E+0, 50.420168,1.13E-06
60.0000E+0, 51.428571,1.27E-06
60.0000E+0, 52.436975,1.43E-06
60.0000E+0, 53.445378,1.60E-06
60.0000E+0, 54.453782,1.79E-06
60.0000E+0, 55.462185,1.98E-06
60.0000E+0, 56.470588,2.20E-06
60.0000E+0, 57.478992,2.44E-06
60.0000E+0, 58.487395,2.70E-06
60.0000E+0, 59.495798,2.98E-06
60.0000E+0, 60.504202,3.29E-06
