VGS,VDS,ID
-1.0000000000E-01,-4.0000000000E+00,-4.4795000000E-06
-1.0000000000E-01,-3.9500000000E+00,-4.2626000000E-06
-1.0000000000E-01,-3.9000000000E+00,-4.1827000000E-06
-1.0000000000E-01,-3.8500000000E+00,-4.0186000000E-06
-1.0000000000E-01,-3.8000000000E+00,-3.8800000000E-06
-1.0000000000E-01,-3.7500000000E+00,-3.7858000000E-06
-1.0000000000E-01,-3.7000000000E+00,-3.6134000000E-06
-1.0000000000E-01,-3.6500000000E+00,-3.5368000000E-06
-1.0000000000E-01,-3.6000000000E+00,-3.3433000000E-06
-1.0000000000E-01,-3.5500000000E+00,-3.2091000000E-06
-1.0000000000E-01,-3.5000000000E+00,-3.1620000000E-06
-1.0000000000E-01,-3.4500000000E+00,-3.0124000000E-06
-1.0000000000E-01,-3.4000000000E+00,-2.9176000000E-06
-1.0000000000E-01,-3.3500000000E+00,-2.7868000000E-06
-1.0000000000E-01,-3.3000000000E+00,-2.7522000000E-06
-1.0000000000E-01,-3.2500000000E+00,-2.5554000000E-06
-1.0000000000E-01,-3.2000000000E+00,-2.4499000000E-06
-1.0000000000E-01,-3.1500000000E+00,-2.3889000000E-06
-1.0000000000E-01,-3.1000000000E+00,-2.3580000000E-06
-1.0000000000E-01,-3.0500000000E+00,-2.3510000000E-06
-1.0000000000E-01,-3.0000000000E+00,-2.1710000000E-06
-1.0000000000E-01,-2.9500000000E+00,-2.0568000000E-06
-1.0000000000E-01,-2.9000000000E+00,-1.9815000000E-06
-1.0000000000E-01,-2.8500000000E+00,-1.9189000000E-06
-1.0000000000E-01,-2.8000000000E+00,-1.7972000000E-06
-1.0000000000E-01,-2.7500000000E+00,-1.7472000000E-06
-1.0000000000E-01,-2.7000000000E+00,-1.7376000000E-06
-1.0000000000E-01,-2.6500000000E+00,-1.5983000000E-06
-1.0000000000E-01,-2.6000000000E+00,-1.5822000000E-06
-1.0000000000E-01,-2.5500000000E+00,-1.6256000000E-06
-1.0000000000E-01,-2.5000000000E+00,-1.5378000000E-06
-1.0000000000E-01,-2.4500000000E+00,-1.5107000000E-06
-1.0000000000E-01,-2.4000000000E+00,-1.4627000000E-06
-1.0000000000E-01,-2.3500000000E+00,-1.3927000000E-06
-1.0000000000E-01,-2.3000000000E+00,-1.3417000000E-06
-1.0000000000E-01,-2.2500000000E+00,-1.3202000000E-06
-1.0000000000E-01,-2.2000000000E+00,-1.2501000000E-06
-1.0000000000E-01,-2.1500000000E+00,-1.2325000000E-06
-1.0000000000E-01,-2.1000000000E+00,-1.1683000000E-06
-1.0000000000E-01,-2.0500000000E+00,-1.1310000000E-06
-1.0000000000E-01,-2.0000000000E+00,-1.1053000000E-06
-1.0000000000E-01,-1.9500000000E+00,-1.1059000000E-06
-1.0000000000E-01,-1.9000000000E+00,-1.0396000000E-06
-1.0000000000E-01,-1.8500000000E+00,-9.9485300000E-07
-1.0000000000E-01,-1.8000000000E+00,-9.7345000000E-07
-1.0000000000E-01,-1.7500000000E+00,-9.8512500000E-07
-1.0000000000E-01,-1.7000000000E+00,-9.0794200000E-07
-1.0000000000E-01,-1.6500000000E+00,-8.8296300000E-07
-1.0000000000E-01,-1.6000000000E+00,-8.3260700000E-07
-1.0000000000E-01,-1.5500000000E+00,-7.9652800000E-07
-1.0000000000E-01,-1.5000000000E+00,-8.1808500000E-07
-1.0000000000E-01,-1.4500000000E+00,-7.7798500000E-07
-1.0000000000E-01,-1.4000000000E+00,-7.5603500000E-07
-1.0000000000E-01,-1.3500000000E+00,-6.9507300000E-07
-1.0000000000E-01,-1.3000000000E+00,-6.8942100000E-07
-1.0000000000E-01,-1.2500000000E+00,-6.6952700000E-07
-1.0000000000E-01,-1.2000000000E+00,-6.2149100000E-07
-1.0000000000E-01,-1.1500000000E+00,-5.9340800000E-07
-1.0000000000E-01,-1.1000000000E+00,-5.7887800000E-07
-1.0000000000E-01,-1.0500000000E+00,-5.6406800000E-07
-1.0000000000E-01,-1.0000000000E+00,-5.6277400000E-07
-1.0000000000E-01,-9.5000000000E-01,-5.3050400000E-07
-1.0000000000E-01,-9.0000000000E-01,-5.2682200000E-07
-1.0000000000E-01,-8.5000000000E-01,-5.0574600000E-07
-1.0000000000E-01,-8.0000000000E-01,-4.7467200000E-07
-1.0000000000E-01,-7.5000000000E-01,-4.5816100000E-07
-1.0000000000E-01,-7.0000000000E-01,-4.8653300000E-07
-1.0000000000E-01,-6.5000000000E-01,-4.5777800000E-07
-1.0000000000E-01,-6.0000000000E-01,-4.5856100000E-07
-1.0000000000E-01,-5.5000000000E-01,-4.4653000000E-07
-1.0000000000E-01,-5.0000000000E-01,-4.1647400000E-07
-1.0000000000E-01,-4.5000000000E-01,-4.0360900000E-07
-1.0000000000E-01,-4.0000000000E-01,-3.9454900000E-07
-1.0000000000E-01,-3.5000000000E-01,-3.7714600000E-07
-1.0000000000E-01,-3.0000000000E-01,-3.5482200000E-07
-1.0000000000E-01,-2.5000000000E-01,-3.3466300000E-07
-1.0000000000E-01,-2.0000000000E-01,-2.8649400000E-07
-1.0000000000E-01,-1.5000000000E-01,-2.4011600000E-07
-1.0000000000E-01,-1.0000000000E-01,-1.8155900000E-07
-1.0000000000E-01,-5.0000000000E-02,-1.0586900000E-07
-1.0000000000E-01,-2.9213000000E-15,-8.8528000000E-09
