VGS,VDS,ID
-3.0000000000E+00,-4.0000000000E+00,-3.1077600000E-04
-3.0000000000E+00,-3.9500000000E+00,-3.0737600000E-04
-3.0000000000E+00,-3.9000000000E+00,-3.0282100000E-04
-3.0000000000E+00,-3.8500000000E+00,-3.0339700000E-04
-3.0000000000E+00,-3.8000000000E+00,-3.0283600000E-04
-3.0000000000E+00,-3.7500000000E+00,-2.9837000000E-04
-3.0000000000E+00,-3.7000000000E+00,-3.0151700000E-04
-3.0000000000E+00,-3.6500000000E+00,-2.9878600000E-04
-3.0000000000E+00,-3.6000000000E+00,-2.9710300000E-04
-3.0000000000E+00,-3.5500000000E+00,-2.9656100000E-04
-3.0000000000E+00,-3.5000000000E+00,-2.9576200000E-04
-3.0000000000E+00,-3.4500000000E+00,-2.9698100000E-04
-3.0000000000E+00,-3.4000000000E+00,-2.9165300000E-04
-3.0000000000E+00,-3.3500000000E+00,-2.9007600000E-04
-3.0000000000E+00,-3.3000000000E+00,-2.9084700000E-04
-3.0000000000E+00,-3.2500000000E+00,-2.8735700000E-04
-3.0000000000E+00,-3.2000000000E+00,-2.8764000000E-04
-3.0000000000E+00,-3.1500000000E+00,-2.8647600000E-04
-3.0000000000E+00,-3.1000000000E+00,-2.8629000000E-04
-3.0000000000E+00,-3.0500000000E+00,-2.8413100000E-04
-3.0000000000E+00,-3.0000000000E+00,-2.8102700000E-04
-3.0000000000E+00,-2.9500000000E+00,-2.7830600000E-04
-3.0000000000E+00,-2.9000000000E+00,-2.7734500000E-04
-3.0000000000E+00,-2.8500000000E+00,-2.7520200000E-04
-3.0000000000E+00,-2.8000000000E+00,-2.7330400000E-04
-3.0000000000E+00,-2.7500000000E+00,-2.6944800000E-04
-3.0000000000E+00,-2.7000000000E+00,-2.6821200000E-04
-3.0000000000E+00,-2.6500000000E+00,-2.6742200000E-04
-3.0000000000E+00,-2.6000000000E+00,-2.6511700000E-04
-3.0000000000E+00,-2.5500000000E+00,-2.6247500000E-04
-3.0000000000E+00,-2.5000000000E+00,-2.6070800000E-04
-3.0000000000E+00,-2.4500000000E+00,-2.5574600000E-04
-3.0000000000E+00,-2.4000000000E+00,-2.5428200000E-04
-3.0000000000E+00,-2.3500000000E+00,-2.5274100000E-04
-3.0000000000E+00,-2.3000000000E+00,-2.5032000000E-04
-3.0000000000E+00,-2.2500000000E+00,-2.4770200000E-04
-3.0000000000E+00,-2.2000000000E+00,-2.4331500000E-04
-3.0000000000E+00,-2.1500000000E+00,-2.4093200000E-04
-3.0000000000E+00,-2.1000000000E+00,-2.3722900000E-04
-3.0000000000E+00,-2.0500000000E+00,-2.3491400000E-04
-3.0000000000E+00,-2.0000000000E+00,-2.3020100000E-04
-3.0000000000E+00,-1.9500000000E+00,-2.2408200000E-04
-3.0000000000E+00,-1.9000000000E+00,-2.2098300000E-04
-3.0000000000E+00,-1.8500000000E+00,-2.1596000000E-04
-3.0000000000E+00,-1.8000000000E+00,-2.1255800000E-04
-3.0000000000E+00,-1.7500000000E+00,-2.0663900000E-04
-3.0000000000E+00,-1.7000000000E+00,-2.0145700000E-04
-3.0000000000E+00,-1.6500000000E+00,-1.9795500000E-04
-3.0000000000E+00,-1.6000000000E+00,-1.9422700000E-04
-3.0000000000E+00,-1.5500000000E+00,-1.8791900000E-04
-3.0000000000E+00,-1.5000000000E+00,-1.8422300000E-04
-3.0000000000E+00,-1.4500000000E+00,-1.7775000000E-04
-3.0000000000E+00,-1.4000000000E+00,-1.7150500000E-04
-3.0000000000E+00,-1.3500000000E+00,-1.6434000000E-04
-3.0000000000E+00,-1.3000000000E+00,-1.6078100000E-04
-3.0000000000E+00,-1.2500000000E+00,-1.5295600000E-04
-3.0000000000E+00,-1.2000000000E+00,-1.4915500000E-04
-3.0000000000E+00,-1.1500000000E+00,-1.4287500000E-04
-3.0000000000E+00,-1.1000000000E+00,-1.3619100000E-04
-3.0000000000E+00,-1.0500000000E+00,-1.2972900000E-04
-3.0000000000E+00,-1.0000000000E+00,-1.2174600000E-04
-3.0000000000E+00,-9.5000000000E-01,-1.1694700000E-04
-3.0000000000E+00,-9.0000000000E-01,-1.1036300000E-04
-3.0000000000E+00,-8.5000000000E-01,-1.0352500000E-04
-3.0000000000E+00,-8.0000000000E-01,-9.6801700000E-05
-3.0000000000E+00,-7.5000000000E-01,-8.9512400000E-05
-3.0000000000E+00,-7.0000000000E-01,-8.2302100000E-05
-3.0000000000E+00,-6.5000000000E-01,-7.6327500000E-05
-3.0000000000E+00,-6.0000000000E-01,-7.0149500000E-05
-3.0000000000E+00,-5.5000000000E-01,-6.3467200000E-05
-3.0000000000E+00,-5.0000000000E-01,-5.6329600000E-05
-3.0000000000E+00,-4.5000000000E-01,-4.9590700000E-05
-3.0000000000E+00,-4.0000000000E-01,-4.3727600000E-05
-3.0000000000E+00,-3.5000000000E-01,-3.6528300000E-05
-3.0000000000E+00,-3.0000000000E-01,-3.1680500000E-05
-3.0000000000E+00,-2.5000000000E-01,-2.5855200000E-05
-3.0000000000E+00,-2.0000000000E-01,-2.0787500000E-05
-3.0000000000E+00,-1.5000000000E-01,-1.4973300000E-05
-3.0000000000E+00,-1.0000000000E-01,-9.9095000000E-06
-3.0000000000E+00,-5.0000000000E-02,-4.8940000000E-06
-3.0000000000E+00,0.0000000000E+00,-7.8891900000E-08
