VGS,VDS,ID
V,V,A
100.0000E-3, 000.0000E+0, 8.8528E-9
100.0000E-3, 50.0000E-3, 105.8690E-9
100.0000E-3, 100.0000E-3, 181.5590E-9
100.0000E-3, 150.0000E-3, 240.1160E-9
100.0000E-3, 200.0000E-3, 286.4940E-9
100.0000E-3, 250.0000E-3, 334.6630E-9
100.0000E-3, 300.0000E-3, 354.8220E-9
100.0000E-3, 350.0000E-3, 377.1460E-9
100.0000E-3, 400.0000E-3, 394.5490E-9
100.0000E-3, 450.0000E-3, 403.6090E-9
100.0000E-3, 500.0000E-3, 416.4740E-9
100.0000E-3, 550.0000E-3, 446.5300E-9
100.0000E-3, 600.0000E-3, 458.5610E-9
100.0000E-3, 650.0000E-3, 457.7780E-9
100.0000E-3, 700.0000E-3, 486.5330E-9
100.0000E-3, 750.0000E-3, 458.1610E-9
100.0000E-3, 800.0000E-3, 474.6720E-9
100.0000E-3, 850.0000E-3, 505.7460E-9
100.0000E-3, 900.0000E-3, 526.8220E-9
100.0000E-3, 950.0000E-3, 530.5040E-9
100.0000E-3, 1.0000E+0, 562.7740E-9
100.0000E-3, 1.0500E+0, 564.0680E-9
100.0000E-3, 1.1000E+0, 578.8780E-9
100.0000E-3, 1.1500E+0, 593.4080E-9
100.0000E-3, 1.2000E+0, 621.4910E-9
100.0000E-3, 1.2500E+0, 669.5270E-9
100.0000E-3, 1.3000E+0, 689.4210E-9
100.0000E-3, 1.3500E+0, 695.0730E-9
100.0000E-3, 1.4000E+0, 756.0350E-9
100.0000E-3, 1.4500E+0, 777.9850E-9
100.0000E-3, 1.5000E+0, 818.0850E-9
100.0000E-3, 1.5500E+0, 796.5280E-9
100.0000E-3, 1.6000E+0, 832.6070E-9
100.0000E-3, 1.6500E+0, 882.9630E-9
100.0000E-3, 1.7000E+0, 907.9420E-9
100.0000E-3, 1.7500E+0, 985.1250E-9
100.0000E-3, 1.8000E+0, 973.4500E-9
100.0000E-3, 1.8500E+0, 994.8530E-9
100.0000E-3, 1.9000E+0, 1.0396E-6
100.0000E-3, 1.9500E+0, 1.1059E-6
100.0000E-3, 2.0000E+0, 1.1053E-6
100.0000E-3, 2.0500E+0, 1.1310E-6
100.0000E-3, 2.1000E+0, 1.1683E-6
100.0000E-3, 2.1500E+0, 1.2325E-6
100.0000E-3, 2.2000E+0, 1.2501E-6
100.0000E-3, 2.2500E+0, 1.3202E-6
100.0000E-3, 2.3000E+0, 1.3417E-6
100.0000E-3, 2.3500E+0, 1.3927E-6
100.0000E-3, 2.4000E+0, 1.4627E-6
100.0000E-3, 2.4500E+0, 1.5107E-6
100.0000E-3, 2.5000E+0, 1.5378E-6
100.0000E-3, 2.5500E+0, 1.6256E-6
100.0000E-3, 2.6000E+0, 1.5822E-6
100.0000E-3, 2.6500E+0, 1.5983E-6
100.0000E-3, 2.7000E+0, 1.7376E-6
100.0000E-3, 2.7500E+0, 1.7472E-6
100.0000E-3, 2.8000E+0, 1.7972E-6
100.0000E-3, 2.8500E+0, 1.9189E-6
100.0000E-3, 2.9000E+0, 1.9815E-6
100.0000E-3, 2.9500E+0, 2.0568E-6
100.0000E-3, 3.0000E+0, 2.1710E-6
100.0000E-3, 3.0500E+0, 2.3510E-6
100.0000E-3, 3.1000E+0, 2.3580E-6
100.0000E-3, 3.1500E+0, 2.3889E-6
100.0000E-3, 3.2000E+0, 2.4499E-6
100.0000E-3, 3.2500E+0, 2.5554E-6
100.0000E-3, 3.3000E+0, 2.7522E-6
100.0000E-3, 3.3500E+0, 2.7868E-6
100.0000E-3, 3.4000E+0, 2.9176E-6
100.0000E-3, 3.4500E+0, 3.0124E-6
100.0000E-3, 3.5000E+0, 3.1620E-6
100.0000E-3, 3.5500E+0, 3.2091E-6
100.0000E-3, 3.6000E+0, 3.3433E-6
100.0000E-3, 3.6500E+0, 3.5368E-6
100.0000E-3, 3.7000E+0, 3.6134E-6
100.0000E-3, 3.7500E+0, 3.7858E-6
100.0000E-3, 3.8000E+0, 3.8800E-6
100.0000E-3, 3.8500E+0, 4.0186E-6
100.0000E-3, 3.9000E+0, 4.1827E-6
100.0000E-3, 3.9500E+0, 4.2626E-6
100.0000E-3, 4.0000E+0, 4.4795E-6
100.0000E-3, 4.0000E+0, 4.5877E-6
100.0000E-3, 3.9500E+0, 4.3928E-6
100.0000E-3, 3.9000E+0, 4.4267E-6
100.0000E-3, 3.8500E+0, 4.3228E-6
100.0000E-3, 3.8000E+0, 4.2966E-6
100.0000E-3, 3.7500E+0, 4.2635E-6
100.0000E-3, 3.7000E+0, 4.1371E-6
100.0000E-3, 3.6500E+0, 4.0305E-6
100.0000E-3, 3.6000E+0, 4.0669E-6
100.0000E-3, 3.5500E+0, 4.1174E-6
100.0000E-3, 3.5000E+0, 4.0844E-6
100.0000E-3, 3.4500E+0, 4.0702E-6
100.0000E-3, 3.4000E+0, 3.9932E-6
100.0000E-3, 3.3500E+0, 3.9665E-6
100.0000E-3, 3.3000E+0, 3.9257E-6
100.0000E-3, 3.2500E+0, 3.9688E-6
100.0000E-3, 3.2000E+0, 3.8545E-6
100.0000E-3, 3.1500E+0, 3.8494E-6
100.0000E-3, 3.1000E+0, 3.8043E-6
100.0000E-3, 3.0500E+0, 3.7261E-6
100.0000E-3, 3.0000E+0, 3.6675E-6
100.0000E-3, 2.9500E+0, 3.6133E-6
100.0000E-3, 2.9000E+0, 3.5387E-6
100.0000E-3, 2.8500E+0, 3.5539E-6
100.0000E-3, 2.8000E+0, 3.5359E-6
100.0000E-3, 2.7500E+0, 3.3695E-6
100.0000E-3, 2.7000E+0, 3.3860E-6
100.0000E-3, 2.6500E+0, 3.4158E-6
100.0000E-3, 2.6000E+0, 3.3935E-6
100.0000E-3, 2.5500E+0, 3.3173E-6
100.0000E-3, 2.5000E+0, 3.4021E-6
100.0000E-3, 2.4500E+0, 3.2818E-6
100.0000E-3, 2.4000E+0, 3.2369E-6
100.0000E-3, 2.3500E+0, 3.2994E-6
100.0000E-3, 2.3000E+0, 3.2440E-6
100.0000E-3, 2.2500E+0, 3.2606E-6
100.0000E-3, 2.2000E+0, 3.2758E-6
100.0000E-3, 2.1500E+0, 3.3366E-6
100.0000E-3, 2.1000E+0, 3.3035E-6
100.0000E-3, 2.0500E+0, 3.3091E-6
100.0000E-3, 2.0000E+0, 3.3167E-6
100.0000E-3, 1.9500E+0, 3.2225E-6
100.0000E-3, 1.9000E+0, 3.1298E-6
100.0000E-3, 1.8500E+0, 3.2284E-6
100.0000E-3, 1.8000E+0, 3.1558E-6
100.0000E-3, 1.7500E+0, 3.2568E-6
100.0000E-3, 1.7000E+0, 3.3225E-6
100.0000E-3, 1.6500E+0, 3.1905E-6
