VGS,VDS,ID
3.0000000000E+01,0.0000000000E+00,1.0300000000E-03
3.0000000000E+01,4.9505000000E-01,1.0300000000E-02
3.0000000000E+01,9.9009900000E-01,1.3700000000E-02
3.0000000000E+01,1.4851490000E+00,1.7700000000E-02
3.0000000000E+01,1.9801980000E+00,2.3400000000E-02
3.0000000000E+01,2.4752480000E+00,3.0800000000E-02
3.0000000000E+01,2.9702970000E+00,3.9700000000E-02
3.0000000000E+01,3.4653470000E+00,4.9600000000E-02
3.0000000000E+01,3.9603960000E+00,5.9900000000E-02
3.0000000000E+01,4.4554460000E+00,6.9800000000E-02
3.0000000000E+01,4.9504950000E+00,7.8600000000E-02
3.0000000000E+01,5.4455450000E+00,8.5900000000E-02
3.0000000000E+01,5.9405940000E+00,9.1400000000E-02
3.0000000000E+01,6.4356440000E+00,9.5600000000E-02
3.0000000000E+01,6.9306930000E+00,9.8800000000E-02
3.0000000000E+01,7.4257430000E+00,9.8900000000E-02
3.0000000000E+01,7.9207920000E+00,1.0200000000E-01
3.0000000000E+01,8.4158420000E+00,1.0400000000E-01
3.0000000000E+01,8.9108910000E+00,1.0500000000E-01
3.0000000000E+01,9.4059410000E+00,1.0700000000E-01
3.0000000000E+01,9.9009900000E+00,1.0800000000E-01
3.0000000000E+01,1.0396040000E+01,1.0900000000E-01
3.0000000000E+01,1.0891089000E+01,1.1000000000E-01
3.0000000000E+01,1.1386139000E+01,1.1100000000E-01
3.0000000000E+01,1.1881188000E+01,1.1200000000E-01
3.0000000000E+01,1.2376238000E+01,1.1200000000E-01
3.0000000000E+01,1.2871287000E+01,1.1300000000E-01
3.0000000000E+01,1.3366337000E+01,1.1300000000E-01
3.0000000000E+01,1.3861386000E+01,1.1400000000E-01
3.0000000000E+01,1.4356436000E+01,1.1400000000E-01
3.0000000000E+01,1.4851485000E+01,1.1400000000E-01
3.0000000000E+01,1.5346535000E+01,1.1400000000E-01
3.0000000000E+01,1.5841584000E+01,1.1400000000E-01
3.0000000000E+01,1.6336634000E+01,1.1400000000E-01
3.0000000000E+01,1.6831683000E+01,1.1400000000E-01
