VGS,VDS,ID
1.0084030000E+00,6.0000000000E+01,1.5000000000E-08
2.0168070000E+00,6.0000000000E+01,1.0800000000E-08
3.0252100000E+00,6.0000000000E+01,7.1800000000E-09
4.0336130000E+00,6.0000000000E+01,3.4900000000E-09
5.0420170000E+00,6.0000000000E+01,1.4000000000E-09
6.0504200000E+00,6.0000000000E+01,7.7600000000E-10
7.0588240000E+00,6.0000000000E+01,3.6600000000E-10
8.0672270000E+00,6.0000000000E+01,2.7600000000E-11
9.0756300000E+00,6.0000000000E+01,3.2900000000E-10
1.0084034000E+01,6.0000000000E+01,6.2400000000E-10
1.1092437000E+01,6.0000000000E+01,8.0300000000E-10
1.2100840000E+01,6.0000000000E+01,1.0600000000E-09
1.3109244000E+01,6.0000000000E+01,1.1400000000E-09
1.4117647000E+01,6.0000000000E+01,1.3100000000E-09
1.5126050000E+01,6.0000000000E+01,1.5200000000E-09
1.6134454000E+01,6.0000000000E+01,1.7100000000E-09
1.7142857000E+01,6.0000000000E+01,1.5700000000E-09
1.8151261000E+01,6.0000000000E+01,1.2900000000E-09
1.9159664000E+01,6.0000000000E+01,7.7200000000E-10
2.0168067000E+01,6.0000000000E+01,5.0300000000E-10
2.1176471000E+01,6.0000000000E+01,1.2400000000E-10
2.2184874000E+01,6.0000000000E+01,9.0300000000E-10
2.3193277000E+01,6.0000000000E+01,2.1000000000E-09
2.4201681000E+01,6.0000000000E+01,5.5900000000E-09
2.5210084000E+01,6.0000000000E+01,1.1200000000E-08
2.6218487000E+01,6.0000000000E+01,1.6800000000E-08
2.7226891000E+01,6.0000000000E+01,2.3700000000E-08
2.8235294000E+01,6.0000000000E+01,3.1500000000E-08
2.9243697000E+01,6.0000000000E+01,4.1100000000E-08
3.0252101000E+01,6.0000000000E+01,5.2200000000E-08
3.1260504000E+01,6.0000000000E+01,6.5700000000E-08
3.2268908000E+01,6.0000000000E+01,8.2000000000E-08
3.3277311000E+01,6.0000000000E+01,9.9600000000E-08
3.4285714000E+01,6.0000000000E+01,1.2200000000E-07
3.5294118000E+01,6.0000000000E+01,1.4800000000E-07
3.6302521000E+01,6.0000000000E+01,1.7900000000E-07
3.7310924000E+01,6.0000000000E+01,2.1400000000E-07
3.8319328000E+01,6.0000000000E+01,2.5100000000E-07
3.9327731000E+01,6.0000000000E+01,2.9500000000E-07
4.0336134000E+01,6.0000000000E+01,3.4300000000E-07
4.1344538000E+01,6.0000000000E+01,3.9800000000E-07
4.2352941000E+01,6.0000000000E+01,4.5900000000E-07
4.3361345000E+01,6.0000000000E+01,5.2700000000E-07
4.4369748000E+01,6.0000000000E+01,5.9900000000E-07
4.5378151000E+01,6.0000000000E+01,6.5800000000E-07
4.6386555000E+01,6.0000000000E+01,7.6100000000E-07
4.7394958000E+01,6.0000000000E+01,8.7200000000E-07
4.8403361000E+01,6.0000000000E+01,9.8300000000E-07
4.9411765000E+01,6.0000000000E+01,1.0900000000E-06
5.0420168000E+01,6.0000000000E+01,1.2400000000E-06
5.1428571000E+01,6.0000000000E+01,1.3900000000E-06
5.2436975000E+01,6.0000000000E+01,1.5500000000E-06
5.3445378000E+01,6.0000000000E+01,1.7200000000E-06
5.4453782000E+01,6.0000000000E+01,1.9100000000E-06
5.5462185000E+01,6.0000000000E+01,2.1000000000E-06
5.6470588000E+01,6.0000000000E+01,2.3100000000E-06
5.7478992000E+01,6.0000000000E+01,2.5400000000E-06
5.8487395000E+01,6.0000000000E+01,2.7800000000E-06
5.9495798000E+01,6.0000000000E+01,3.0400000000E-06
6.0504202000E+01,6.0000000000E+01,3.3100000000E-06
