VDS,VGS,ID
V,V,A
60.0000E+0, 1.008403,1.50E-08
60.0000E+0, 2.016807,1.08E-08
60.0000E+0, 3.02521,7.18E-09
60.0000E+0, 4.033613,3.49E-09
60.0000E+0, 5.042017,1.40E-09
60.0000E+0, 6.05042,7.76E-10
60.0000E+0, 7.058824,3.66E-10
60.0000E+0, 8.067227,2.76E-11
60.0000E+0, 9.07563,3.29E-10
60.0000E+0, 10.084034,6.24E-10
60.0000E+0, 11.092437,8.03E-10
60.0000E+0, 12.10084,1.06E-09
60.0000E+0, 13.109244,1.14E-09
60.0000E+0, 14.117647,1.31E-09
60.0000E+0, 15.12605,1.52E-09
60.0000E+0, 16.134454,1.71E-09
60.0000E+0, 17.142857,1.57E-09
60.0000E+0, 18.151261,1.29E-09
60.0000E+0, 19.159664,7.72E-10
60.0000E+0, 20.168067,5.03E-10
60.0000E+0, 21.176471,1.24E-10
60.0000E+0, 22.184874,9.03E-10
60.0000E+0, 23.193277,2.10E-09
60.0000E+0, 24.201681,5.59E-09
60.0000E+0, 25.210084,1.12E-08
60.0000E+0, 26.218487,1.68E-08
60.0000E+0, 27.226891,2.37E-08
60.0000E+0, 28.235294,3.15E-08
60.0000E+0, 29.243697,4.11E-08
60.0000E+0, 30.252101,5.22E-08
60.0000E+0, 31.260504,6.57E-08
60.0000E+0, 32.268908,8.20E-08
60.0000E+0, 33.277311,9.96E-08
60.0000E+0, 34.285714,1.22E-07
60.0000E+0, 35.294118,1.48E-07
60.0000E+0, 36.302521,1.79E-07
60.0000E+0, 37.310924,2.14E-07
60.0000E+0, 38.319328,2.51E-07
60.0000E+0, 39.327731,2.95E-07
60.0000E+0, 40.336134,3.43E-07
60.0000E+0, 41.344538,3.98E-07
60.0000E+0, 42.352941,4.59E-07
60.0000E+0, 43.361345,5.27E-07
60.0000E+0, 44.369748,5.99E-07
60.0000E+0, 45.378151,6.58E-07
60.0000E+0, 46.386555,7.61E-07
60.0000E+0, 47.394958,8.72E-07
60.0000E+0, 48.403361,9.83E-07
60.0000E+0, 49.411765,1.09E-06
60.0000E+0, 50.420168,1.24E-06
60.0000E+0, 51.428571,1.39E-06
60.0000E+0, 52.436975,1.55E-06
60.0000E+0, 53.445378,1.72E-06
60.0000E+0, 54.453782,1.91E-06
60.0000E+0, 55.462185,2.10E-06
60.0000E+0, 56.470588,2.31E-06
60.0000E+0, 57.478992,2.54E-06
60.0000E+0, 58.487395,2.78E-06
60.0000E+0, 59.495798,3.04E-06
60.0000E+0, 60.504202,3.31E-06
