VDS,VGS,ID
V,V,A
1.0000E+0, -4.0000E+0, 296.7237E-9
1.0000E+0, -3.9208E+0, 259.0415E-9
1.0000E+0, -3.8416E+0, 214.1724E-9
1.0000E+0, -3.7624E+0, 196.1108E-9
1.0000E+0, -3.6832E+0, 358.6377E-9
1.0000E+0, -3.6040E+0, 374.4558E-9
1.0000E+0, -3.5248E+0, 316.9477E-9
1.0000E+0, -3.4455E+0, 313.0958E-9
1.0000E+0, -3.3663E+0, 296.2731E-9
1.0000E+0, -3.2871E+0, 246.3209E-9
1.0000E+0, -3.2079E+0, 248.7305E-9
1.0000E+0, -3.1287E+0, 228.2905E-9
1.0000E+0, -3.0495E+0, 203.2628E-9
1.0000E+0, -2.9703E+0, 194.6866E-9
1.0000E+0, -2.8911E+0, 170.8563E-9
1.0000E+0, -2.8119E+0, 157.4310E-9
1.0000E+0, -2.7327E+0, 149.1724E-9
1.0000E+0, -2.6535E+0, 118.1287E-9
1.0000E+0, -2.5743E+0, 110.5795E-9
1.0000E+0, -2.4950E+0, 100.9855E-9
1.0000E+0, -2.4158E+0, 89.9520E-9
1.0000E+0, -2.3366E+0, 87.1200E-9
1.0000E+0, -2.2574E+0, 73.8480E-9
1.0000E+0, -2.1782E+0, 63.5022E-9
1.0000E+0, -2.0990E+0, 54.4268E-9
1.0000E+0, -2.0198E+0, 36.0001E-9
1.0000E+0, -1.9406E+0, 39.7128E-9
1.0000E+0, -1.8614E+0, 29.6651E-9
1.0000E+0, -1.7822E+0, 24.4573E-9
1.0000E+0, -1.7030E+0, 18.5583E-9
1.0000E+0, -1.6238E+0, 17.6980E-9
1.0000E+0, -1.5446E+0, 13.1074E-9
1.0000E+0, -1.4653E+0, 10.2927E-9
1.0000E+0, -1.3861E+0, 7.8157E-9
1.0000E+0, -1.3069E+0, 7.2015E-9
1.0000E+0, -1.2277E+0, 7.3028E-9
1.0000E+0, -1.1485E+0, 6.9488E-9
1.0000E+0, -1.0693E+0, 10.0942E-9
1.0000E+0, -990.0990E-3, 14.0477E-9
1.0000E+0, -910.8911E-3, 24.8946E-9
1.0000E+0, -831.6832E-3, 39.3437E-9
1.0000E+0, -752.4752E-3, 69.8931E-9
1.0000E+0, -673.2673E-3, 105.3777E-9
1.0000E+0, -594.0594E-3, 159.7701E-9
1.0000E+0, -514.8515E-3, 271.2497E-9
1.0000E+0, -435.6436E-3, 417.9594E-9
1.0000E+0, -356.4356E-3, 644.3540E-9
1.0000E+0, -277.2277E-3, 999.9954E-9
1.0000E+0, -198.0198E-3, 1.6084E-6
1.0000E+0, -118.8119E-3, 2.4126E-6
1.0000E+0, -39.6040E-3, 3.5039E-6
1.0000E+0, 39.6040E-3, 4.9110E-6
1.0000E+0, 118.8119E-3, 6.6934E-6
1.0000E+0, 198.0198E-3, 8.6942E-6
1.0000E+0, 277.2277E-3, 11.2040E-6
1.0000E+0, 356.4356E-3, 14.0859E-6
1.0000E+0, 435.6436E-3, 17.2408E-6
1.0000E+0, 514.8515E-3, 20.3657E-6
1.0000E+0, 594.0594E-3, 23.9678E-6
1.0000E+0, 673.2673E-3, 27.4052E-6
