VGS,VDS,ID
V,V,A
1.0000E+0, 000.0000E+0, 40.1165E-9
1.0000E+0, 50.0000E-3, 2.4116E-6
1.0000E+0, 100.0000E-3, 4.7313E-6
1.0000E+0, 150.0000E-3, 6.9264E-6
1.0000E+0, 200.0000E-3, 9.3213E-6
1.0000E+0, 250.0000E-3, 11.2791E-6
1.0000E+0, 300.0000E-3, 13.4146E-6
1.0000E+0, 350.0000E-3, 15.4952E-6
1.0000E+0, 400.0000E-3, 17.6528E-6
1.0000E+0, 450.0000E-3, 19.8799E-6
1.0000E+0, 500.0000E-3, 21.9689E-6
1.0000E+0, 550.0000E-3, 23.8276E-6
1.0000E+0, 600.0000E-3, 25.6039E-6
1.0000E+0, 650.0000E-3, 27.4663E-6
1.0000E+0, 700.0000E-3, 29.4758E-6
1.0000E+0, 750.0000E-3, 30.9243E-6
1.0000E+0, 800.0000E-3, 32.4841E-6
1.0000E+0, 850.0000E-3, 34.0462E-6
1.0000E+0, 900.0000E-3, 35.2986E-6
1.0000E+0, 950.0000E-3, 36.7747E-6
1.0000E+0, 1.0000E+0, 38.0644E-6
1.0000E+0, 1.0500E+0, 39.0729E-6
1.0000E+0, 1.1000E+0, 40.1441E-6
1.0000E+0, 1.1500E+0, 41.3271E-6
1.0000E+0, 1.2000E+0, 42.7230E-6
1.0000E+0, 1.2500E+0, 43.6222E-6
1.0000E+0, 1.3000E+0, 44.2951E-6
1.0000E+0, 1.3500E+0, 45.5749E-6
1.0000E+0, 1.4000E+0, 46.1729E-6
1.0000E+0, 1.4500E+0, 47.1547E-6
1.0000E+0, 1.5000E+0, 47.6766E-6
1.0000E+0, 1.5500E+0, 48.6661E-6
1.0000E+0, 1.6000E+0, 49.1754E-6
1.0000E+0, 1.6500E+0, 49.3011E-6
1.0000E+0, 1.7000E+0, 49.3593E-6
1.0000E+0, 1.7500E+0, 50.3128E-6
1.0000E+0, 1.8000E+0, 51.2161E-6
1.0000E+0, 1.8500E+0, 52.2638E-6
1.0000E+0, 1.9000E+0, 52.1904E-6
1.0000E+0, 1.9500E+0, 52.8692E-6
1.0000E+0, 2.0000E+0, 52.7283E-6
1.0000E+0, 2.0500E+0, 53.4143E-6
1.0000E+0, 2.1000E+0, 53.8425E-6
1.0000E+0, 2.1500E+0, 54.3464E-6
1.0000E+0, 2.2000E+0, 54.6843E-6
1.0000E+0, 2.2500E+0, 55.1316E-6
1.0000E+0, 2.3000E+0, 55.6650E-6
1.0000E+0, 2.3500E+0, 55.0415E-6
1.0000E+0, 2.4000E+0, 56.0617E-6
1.0000E+0, 2.4500E+0, 55.8757E-6
1.0000E+0, 2.5000E+0, 56.5939E-6
1.0000E+0, 2.5500E+0, 57.6167E-6
1.0000E+0, 2.6000E+0, 56.4960E-6
1.0000E+0, 2.6500E+0, 57.4321E-6
1.0000E+0, 2.7000E+0, 58.0876E-6
1.0000E+0, 2.7500E+0, 58.1677E-6
1.0000E+0, 2.8000E+0, 58.3592E-6
1.0000E+0, 2.8500E+0, 56.9467E-6
1.0000E+0, 2.9000E+0, 57.3062E-6
1.0000E+0, 2.9500E+0, 56.3910E-6
1.0000E+0, 3.0000E+0, 57.5988E-6
1.0000E+0, 3.0500E+0, 56.0322E-6
1.0000E+0, 3.1000E+0, 56.5671E-6
1.0000E+0, 3.1500E+0, 55.8763E-6
1.0000E+0, 3.2000E+0, 53.9752E-6
1.0000E+0, 3.2500E+0, 54.1688E-6
