VGS,VDS,ID
V,V,A
-2.0000E+0, -000.0000E+0, -60.7086E-9
-2.0000E+0, -50.0000E-3, -3.7242E-6
-2.0000E+0, -100.0000E-3, -7.4263E-6
-2.0000E+0, -150.0000E-3, -11.4154E-6
-2.0000E+0, -200.0000E-3, -15.3185E-6
-2.0000E+0, -250.0000E-3, -19.4702E-6
-2.0000E+0, -300.0000E-3, -23.4824E-6
-2.0000E+0, -350.0000E-3, -27.5022E-6
-2.0000E+0, -400.0000E-3, -31.8227E-6
-2.0000E+0, -450.0000E-3, -36.3882E-6
-2.0000E+0, -500.0000E-3, -40.8025E-6
-2.0000E+0, -550.0000E-3, -45.5016E-6
-2.0000E+0, -600.0000E-3, -49.3903E-6
-2.0000E+0, -650.0000E-3, -53.1028E-6
-2.0000E+0, -700.0000E-3, -58.9080E-6
-2.0000E+0, -750.0000E-3, -63.7734E-6
-2.0000E+0, -800.0000E-3, -67.7692E-6
-2.0000E+0, -850.0000E-3, -72.1133E-6
-2.0000E+0, -900.0000E-3, -76.2728E-6
-2.0000E+0, -950.0000E-3, -80.5596E-6
-2.0000E+0, -1.0000E+0, -83.4068E-6
-2.0000E+0, -1.0500E+0, -87.9706E-6
-2.0000E+0, -1.1000E+0, -92.3199E-6
-2.0000E+0, -1.1500E+0, -95.7553E-6
-2.0000E+0, -1.2000E+0, -99.1863E-6
-2.0000E+0, -1.2500E+0, -103.8830E-6
-2.0000E+0, -1.3000E+0, -107.3170E-6
-2.0000E+0, -1.3500E+0, -111.3110E-6
-2.0000E+0, -1.4000E+0, -114.6740E-6
-2.0000E+0, -1.4500E+0, -118.1290E-6
-2.0000E+0, -1.5000E+0, -121.5190E-6
-2.0000E+0, -1.5500E+0, -124.8360E-6
-2.0000E+0, -1.6000E+0, -127.1770E-6
-2.0000E+0, -1.6500E+0, -130.8700E-6
-2.0000E+0, -1.7000E+0, -133.2040E-6
-2.0000E+0, -1.7500E+0, -135.6940E-6
-2.0000E+0, -1.8000E+0, -137.2330E-6
-2.0000E+0, -1.8500E+0, -139.3050E-6
-2.0000E+0, -1.9000E+0, -142.1440E-6
-2.0000E+0, -1.9500E+0, -144.2310E-6
-2.0000E+0, -2.0000E+0, -145.8850E-6
-2.0000E+0, -2.0500E+0, -147.9210E-6
-2.0000E+0, -2.1000E+0, -150.7880E-6
-2.0000E+0, -2.1500E+0, -152.4780E-6
-2.0000E+0, -2.2000E+0, -153.4550E-6
-2.0000E+0, -2.2500E+0, -156.6960E-6
-2.0000E+0, -2.3000E+0, -159.7950E-6
-2.0000E+0, -2.3500E+0, -160.4490E-6
