VGS,VDS,ID
4.0000000000E+00,0.0000000000E+00,8.2850600000E-08
4.0000000000E+00,5.0000000000E-02,5.2524000000E-06
4.0000000000E+00,1.0000000000E-01,1.1037700000E-05
4.0000000000E+00,1.5000000000E-01,1.6628100000E-05
4.0000000000E+00,2.0000000000E-01,2.2585700000E-05
4.0000000000E+00,2.5000000000E-01,2.8719900000E-05
4.0000000000E+00,3.0000000000E-01,3.4512900000E-05
4.0000000000E+00,3.5000000000E-01,4.1647600000E-05
4.0000000000E+00,4.0000000000E-01,4.8568100000E-05
4.0000000000E+00,4.5000000000E-01,5.4753700000E-05
4.0000000000E+00,5.0000000000E-01,6.2179700000E-05
4.0000000000E+00,5.5000000000E-01,6.9971800000E-05
4.0000000000E+00,6.0000000000E-01,7.7647200000E-05
4.0000000000E+00,6.5000000000E-01,8.5088200000E-05
4.0000000000E+00,7.0000000000E-01,9.3473200000E-05
4.0000000000E+00,7.5000000000E-01,1.0228300000E-04
4.0000000000E+00,8.0000000000E-01,1.1023600000E-04
4.0000000000E+00,8.5000000000E-01,1.1635800000E-04
4.0000000000E+00,9.0000000000E-01,1.2574500000E-04
4.0000000000E+00,9.5000000000E-01,1.3367800000E-04
4.0000000000E+00,1.0000000000E+00,1.4278500000E-04
4.0000000000E+00,1.0500000000E+00,1.4924700000E-04
4.0000000000E+00,1.1000000000E+00,1.5675800000E-04
4.0000000000E+00,1.1500000000E+00,1.6443400000E-04
4.0000000000E+00,1.2000000000E+00,1.7218300000E-04
4.0000000000E+00,1.2500000000E+00,1.7992500000E-04
4.0000000000E+00,1.3000000000E+00,1.8871000000E-04
4.0000000000E+00,1.3500000000E+00,1.9538400000E-04
4.0000000000E+00,1.4000000000E+00,2.0274200000E-04
4.0000000000E+00,1.4500000000E+00,2.0977700000E-04
4.0000000000E+00,1.5000000000E+00,2.1543800000E-04
4.0000000000E+00,1.5500000000E+00,2.2184900000E-04
4.0000000000E+00,1.6000000000E+00,2.2930400000E-04
4.0000000000E+00,1.6500000000E+00,2.3755000000E-04
4.0000000000E+00,1.7000000000E+00,2.4411800000E-04
4.0000000000E+00,1.7500000000E+00,2.5007700000E-04
4.0000000000E+00,1.8000000000E+00,2.5434500000E-04
4.0000000000E+00,1.8500000000E+00,2.6040100000E-04
4.0000000000E+00,1.9000000000E+00,2.6648400000E-04
4.0000000000E+00,1.9500000000E+00,2.7228700000E-04
4.0000000000E+00,2.0000000000E+00,2.7909800000E-04
4.0000000000E+00,2.0500000000E+00,2.8355900000E-04
4.0000000000E+00,2.1000000000E+00,2.8880300000E-04
4.0000000000E+00,2.1500000000E+00,2.9338200000E-04
4.0000000000E+00,2.2000000000E+00,2.9760900000E-04
4.0000000000E+00,2.2500000000E+00,3.0364300000E-04
4.0000000000E+00,2.3000000000E+00,3.0805800000E-04
4.0000000000E+00,2.3500000000E+00,3.1165600000E-04
4.0000000000E+00,2.4000000000E+00,3.1249200000E-04
4.0000000000E+00,2.4500000000E+00,3.1654900000E-04
4.0000000000E+00,2.5000000000E+00,3.2095900000E-04
4.0000000000E+00,2.5500000000E+00,3.2387100000E-04
4.0000000000E+00,2.6000000000E+00,3.2814600000E-04
4.0000000000E+00,2.6500000000E+00,3.2979300000E-04
4.0000000000E+00,2.7000000000E+00,3.3251400000E-04
4.0000000000E+00,2.7500000000E+00,3.3448300000E-04
4.0000000000E+00,2.8000000000E+00,3.3832700000E-04
4.0000000000E+00,2.8500000000E+00,3.4100900000E-04
4.0000000000E+00,2.9000000000E+00,3.4271200000E-04
4.0000000000E+00,2.9500000000E+00,3.4447600000E-04
4.0000000000E+00,3.0000000000E+00,3.4716400000E-04
4.0000000000E+00,3.0500000000E+00,3.4945000000E-04
4.0000000000E+00,3.1000000000E+00,3.4989000000E-04
4.0000000000E+00,3.1500000000E+00,3.4954700000E-04
4.0000000000E+00,3.2000000000E+00,3.5487100000E-04
4.0000000000E+00,3.2500000000E+00,3.5475900000E-04
4.0000000000E+00,3.3000000000E+00,3.5953900000E-04
4.0000000000E+00,3.3500000000E+00,3.5876400000E-04
4.0000000000E+00,3.4000000000E+00,3.6408100000E-04
4.0000000000E+00,3.4500000000E+00,3.6597700000E-04
4.0000000000E+00,3.5000000000E+00,3.6793500000E-04
4.0000000000E+00,3.5500000000E+00,3.6913000000E-04
4.0000000000E+00,3.6000000000E+00,3.6855300000E-04
4.0000000000E+00,3.6500000000E+00,3.6951400000E-04
4.0000000000E+00,3.7000000000E+00,3.7142100000E-04
4.0000000000E+00,3.7500000000E+00,3.7412300000E-04
4.0000000000E+00,3.8000000000E+00,3.7579300000E-04
4.0000000000E+00,3.8500000000E+00,3.7832500000E-04
4.0000000000E+00,3.9000000000E+00,3.8152300000E-04
4.0000000000E+00,3.9500000000E+00,3.8242200000E-04
4.0000000000E+00,4.0000000000E+00,3.8464200000E-04
