input_file,output_file,backup_file,backup_created,backup_reused,curve_type,shift_applied,shift_voltage,threshold_voltage,hysteresis_mode,hysteresis_applied,original_points,processed_points,hysteresis_duplicate_groups,hysteresis_redundant_points,hysteresis_max_spread_abs,hysteresis_max_spread_rel,hysteresis_detected
/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/datas/Cnts/tipo n/tipo n_old/cnt-0.1VDS.csv,/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/datas/Cnts/tipo n/cnt-0.1VDS.csv,/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/datas/Cnts/tipo n/tipo n_old/cnt-0.1VDS.csv,True,False,transfer,True,1.0,0.0,media,True,204,64,64,64,5.020999999999998e-07,0.3392429724464235,True
/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/datas/Cnts/tipo n/tipo n_old/cnt-0.1VGS.csv,/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/datas/Cnts/tipo n/cnt-0.1VGS.csv,/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/datas/Cnts/tipo n/tipo n_old/cnt-0.1VGS.csv,True,False,output,False,0.0,0.0,maior,True,162,81,81,81,2.580509e-06,1.4477095080826974,True
/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/datas/Cnts/tipo n/tipo n_old/cnt-0.5VGS.csv,/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/datas/Cnts/tipo n/cnt-0.5VGS.csv,/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/datas/Cnts/tipo n/tipo n_old/cnt-0.5VGS.csv,True,False,output,False,0.0,0.0,maior,True,161,81,80,80,3.3908000000000015e-06,0.19548835655949226,True
/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/datas/Cnts/tipo n/tipo n_old/cnt-1VDS.csv,/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/datas/Cnts/tipo n/cnt-1VDS.csv,/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/datas/Cnts/tipo n/tipo n_old/cnt-1VDS.csv,True,False,transfer,True,1.0,0.0,media,True,204,64,64,64,6.4217e-06,0.45462276638803784,True
/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/datas/Cnts/tipo n/tipo n_old/cnt-1VGS.csv,/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/datas/Cnts/tipo n/cnt-1VGS.csv,/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/datas/Cnts/tipo n/tipo n_old/cnt-1VGS.csv,True,False,output,False,0.0,0.0,maior,True,161,81,80,80,1.4045099999999999e-05,0.30165607897880786,True
/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/datas/Cnts/tipo n/tipo n_old/cnt-2VDS.csv,/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/datas/Cnts/tipo n/cnt-2VDS.csv,/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/datas/Cnts/tipo n/tipo n_old/cnt-2VDS.csv,True,False,transfer,True,1.0,0.0,media,True,204,64,64,64,1.11318e-05,0.329467841563188,True
/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/datas/Cnts/tipo n/tipo n_old/cnt-2VGS.csv,/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/datas/Cnts/tipo n/cnt-2VGS.csv,/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/datas/Cnts/tipo n/tipo n_old/cnt-2VGS.csv,True,False,output,False,0.0,0.0,maior,True,161,81,80,80,1.7498000000000014e-05,0.10212204687645914,True
/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/datas/Cnts/tipo n/tipo n_old/cnt-3VDS.csv,/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/datas/Cnts/tipo n/cnt-3VDS.csv,/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/datas/Cnts/tipo n/tipo n_old/cnt-3VDS.csv,True,False,transfer,True,1.0,0.0,media,True,204,64,64,64,1.67411e-05,0.9844142790169141,True
/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/datas/Cnts/tipo n/tipo n_old/cnt-3VGS.csv,/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/datas/Cnts/tipo n/cnt-3VGS.csv,/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/datas/Cnts/tipo n/tipo n_old/cnt-3VGS.csv,True,False,output,False,0.0,0.0,maior,True,161,81,80,80,1.3089000000000037e-05,0.0459504196060742,True
/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/datas/Cnts/tipo n/tipo n_old/cnt-4VGS.csv,/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/datas/Cnts/tipo n/cnt-4VGS.csv,/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/datas/Cnts/tipo n/tipo n_old/cnt-4VGS.csv,True,False,output,False,0.0,0.0,maior,True,161,81,80,80,5.764000000000008e-06,0.02683227625088084,True
