VGS,VDS,ID
-4.0000000000E+00,-4.0000000000E+00,-3.8408700000E-04
-4.0000000000E+00,-3.9500000000E+00,-3.7960100000E-04
-4.0000000000E+00,-3.9000000000E+00,-3.7659200000E-04
-4.0000000000E+00,-3.8500000000E+00,-3.7708000000E-04
-4.0000000000E+00,-3.8000000000E+00,-3.7311000000E-04
-4.0000000000E+00,-3.7500000000E+00,-3.6980900000E-04
-4.0000000000E+00,-3.7000000000E+00,-3.6723300000E-04
-4.0000000000E+00,-3.6500000000E+00,-3.6819700000E-04
-4.0000000000E+00,-3.6000000000E+00,-3.6785500000E-04
-4.0000000000E+00,-3.5500000000E+00,-3.6537500000E-04
-4.0000000000E+00,-3.5000000000E+00,-3.6633300000E-04
-4.0000000000E+00,-3.4500000000E+00,-3.6258400000E-04
-4.0000000000E+00,-3.4000000000E+00,-3.6100500000E-04
-4.0000000000E+00,-3.3500000000E+00,-3.5780900000E-04
-4.0000000000E+00,-3.3000000000E+00,-3.5740800000E-04
-4.0000000000E+00,-3.2500000000E+00,-3.5233100000E-04
-4.0000000000E+00,-3.2000000000E+00,-3.4910700000E-04
-4.0000000000E+00,-3.1500000000E+00,-3.4730200000E-04
-4.0000000000E+00,-3.1000000000E+00,-3.4760200000E-04
-4.0000000000E+00,-3.0500000000E+00,-3.4648700000E-04
-4.0000000000E+00,-3.0000000000E+00,-3.4716300000E-04
-4.0000000000E+00,-2.9500000000E+00,-3.4447100000E-04
-4.0000000000E+00,-2.9000000000E+00,-3.4072700000E-04
-4.0000000000E+00,-2.8500000000E+00,-3.3753700000E-04
-4.0000000000E+00,-2.8000000000E+00,-3.3644800000E-04
-4.0000000000E+00,-2.7500000000E+00,-3.3138700000E-04
-4.0000000000E+00,-2.7000000000E+00,-3.3104900000E-04
-4.0000000000E+00,-2.6500000000E+00,-3.2780400000E-04
-4.0000000000E+00,-2.6000000000E+00,-3.2747700000E-04
-4.0000000000E+00,-2.5500000000E+00,-3.2379600000E-04
-4.0000000000E+00,-2.5000000000E+00,-3.1729900000E-04
-4.0000000000E+00,-2.4500000000E+00,-3.1598500000E-04
-4.0000000000E+00,-2.4000000000E+00,-3.1115700000E-04
-4.0000000000E+00,-2.3500000000E+00,-3.0889900000E-04
-4.0000000000E+00,-2.3000000000E+00,-3.0524600000E-04
-4.0000000000E+00,-2.2500000000E+00,-3.0003000000E-04
-4.0000000000E+00,-2.2000000000E+00,-2.9711800000E-04
-4.0000000000E+00,-2.1500000000E+00,-2.9283000000E-04
-4.0000000000E+00,-2.1000000000E+00,-2.8688100000E-04
-4.0000000000E+00,-2.0500000000E+00,-2.8316100000E-04
-4.0000000000E+00,-2.0000000000E+00,-2.7909800000E-04
-4.0000000000E+00,-1.9500000000E+00,-2.7041800000E-04
-4.0000000000E+00,-1.9000000000E+00,-2.6635300000E-04
-4.0000000000E+00,-1.8500000000E+00,-2.5833700000E-04
-4.0000000000E+00,-1.8000000000E+00,-2.5397400000E-04
-4.0000000000E+00,-1.7500000000E+00,-2.4730400000E-04
-4.0000000000E+00,-1.7000000000E+00,-2.4201900000E-04
-4.0000000000E+00,-1.6500000000E+00,-2.3307700000E-04
-4.0000000000E+00,-1.6000000000E+00,-2.2742700000E-04
-4.0000000000E+00,-1.5500000000E+00,-2.1899500000E-04
-4.0000000000E+00,-1.5000000000E+00,-2.1221400000E-04
-4.0000000000E+00,-1.4500000000E+00,-2.0745900000E-04
-4.0000000000E+00,-1.4000000000E+00,-2.0134400000E-04
-4.0000000000E+00,-1.3500000000E+00,-1.9525600000E-04
-4.0000000000E+00,-1.3000000000E+00,-1.8415600000E-04
-4.0000000000E+00,-1.2500000000E+00,-1.7754100000E-04
-4.0000000000E+00,-1.2000000000E+00,-1.7132500000E-04
-4.0000000000E+00,-1.1500000000E+00,-1.6401800000E-04
-4.0000000000E+00,-1.1000000000E+00,-1.5569600000E-04
-4.0000000000E+00,-1.0500000000E+00,-1.4914900000E-04
-4.0000000000E+00,-1.0000000000E+00,-1.4111200000E-04
-4.0000000000E+00,-9.5000000000E-01,-1.3052600000E-04
-4.0000000000E+00,-9.0000000000E-01,-1.2377800000E-04
-4.0000000000E+00,-8.5000000000E-01,-1.1560400000E-04
-4.0000000000E+00,-8.0000000000E-01,-1.0808600000E-04
-4.0000000000E+00,-7.5000000000E-01,-1.0019400000E-04
-4.0000000000E+00,-7.0000000000E-01,-9.2865400000E-05
-4.0000000000E+00,-6.5000000000E-01,-8.4625000000E-05
-4.0000000000E+00,-6.0000000000E-01,-7.6350700000E-05
-4.0000000000E+00,-5.5000000000E-01,-6.8934900000E-05
-4.0000000000E+00,-5.0000000000E-01,-6.1768600000E-05
-4.0000000000E+00,-4.5000000000E-01,-5.4630000000E-05
-4.0000000000E+00,-4.0000000000E-01,-4.7567300000E-05
-4.0000000000E+00,-3.5000000000E-01,-4.0819200000E-05
-4.0000000000E+00,-3.0000000000E-01,-3.3599100000E-05
-4.0000000000E+00,-2.5000000000E-01,-2.8515600000E-05
-4.0000000000E+00,-2.0000000000E-01,-2.2480000000E-05
-4.0000000000E+00,-1.5000000000E-01,-1.6214700000E-05
-4.0000000000E+00,-1.0000000000E-01,-1.0965900000E-05
-4.0000000000E+00,-5.0000000000E-02,-5.2135000000E-06
-4.0000000000E+00,0.0000000000E+00,-8.2850600000E-08
