VGS,VDS,ID
-50,8.-2,40E-07
-49.342106,-2,7.57E-07
-48.30827,-2,7.57E-07
-47.274437,-2,7.19E-07
-46.334587,-2,6.65E-07
-45.206768,-2,6.31E-07
-44.26692,-2,5.83E-07
-43.515038,-2,5.83E-07
-42.763157,-2,5.40E-07
-42.01128,-2,5.12E-07
-41.07143,-2,4.74E-07
-39.943607,-2,4.50E-07
-38.909775,-2,4.16E-07
-38.157894,-2,3.65E-07
-37.31203,-2,3.65E-07
-36.278194,-2,3.20E-07
-35.338345,-2,2.96E-07
-34.49248,-2,2.74E-07
-33.458645,-2,2.53E-07
-32.706768,-2,2.28E-07
-31.860903,-2,1.95E-07
-31.015038,-2,1.85E-07
-30.357143,-2,1.63E-07
-29.605263,-2,1.50E-07
-28.7594,-2,1.32E-07
-28.101503,-2,1.16E-07
-27.725563,-2,1.07E-07
-26.691729,-2,9.91E-08
-25.845865,-2,8.26E-08
-25.093985,-2,7.25E-08
-24.718044,-2,6.71E-08
-24.06015,-2,5.89E-08
-23.402256,-2,5.17E-08
-22.932331,-2,4.42E-08
-21.992481,-2,3.68E-08
-21.052631,-2,2.84E-08
-20.394737,-2,2.13E-08
-19.078947,-2,1.77E-08
-18.421053,-2,1.33E-08
-17.481203,-2,1.00E-08
-16.447369,-2,6.59E-09
-15.601503,-2,4.34E-09
-14.567669,-2,2.86E-09
-13.721805,-2,1.79E-09
-12.781955,-2,1.01E-09
-12.030075,-2,7.98E-10
-10.80827,-2,3.95E-10
-10.150376,-2,2.22E-10
-10.056391,-2,1.76E-10
-9.116541,-2,1.29E-10
-8.082706,-2,9.91E-11
-7.330827,-2,7.84E-11
-6.3909774,-2,6.88E-11
-5.5451126,-2,6.53E-11
-4.417293,-2,5.73E-11
