VDS,VGS,ID
V,V,A
-50,-49.906013,7.31E-06
-50,-49.24812,7.31E-06
-50,-48.402256,6.42E-06
-50,-47.462406,6.09E-06
-50,-46.334587,5.49E-06
-50,-45.582706,4.82E-06
-50,-44.454887,4.46E-06
-50,-43.42105,4.02E-06
-50,-42.669174,3.53E-06
-50,-41.823307,3.26E-06
-50,-40.883457,2.86E-06
-50,-39.849625,2.72E-06
-50,-39.19173,2.45E-06
-50,-38.25188,2.09E-06
-50,-37.030075,1.84E-06
-50,-36.37218,1.66E-06
-50,-35.338345,1.45E-06
-50,-34.304512,1.24E-06
-50,-33.646618,1.12E-06
-50,-32.894737,9.83E-07
-50,-31.766918,8.40E-07
-50,-30.827068,7.00E-07
-50,-29.793234,6.15E-07
-50,-28.947369,5.12E-07
-50,-28.101503,4.27E-07
-50,-27.349625,3.46E-07
-50,-26.31579,2.89E-07
-50,-25.281956,2.34E-07
-50,-24.530075,2.00E-07
-50,-23.778196,1.54E-07
-50,-22.74436,1.19E-07
-50,-21.898497,8.70E-08
-50,-20.864662,6.71E-08
-50,-19.924812,4.90E-08
-50,-19.172932,3.59E-08
-50,-18.233082,2.43E-08
-50,-17.387218,1.68E-08
-50,-16.447369,1.17E-08
-50,-15.507519,7.31E-09
-50,-14.567669,4.23E-09
-50,-13.721805,2.58E-09
-50,-12.781955,1.45E-09
-50,-11.654136,7.57E-10
-50,-11.090225,4.16E-10
-50,-10.150376,1.81E-10
-50,-9.210526,1.25E-10
-50,-8.458647,9.66E-11
-50,-7.330827,8.48E-11
-50,-6.2969923,8.05E-11
-50,-5.169173,8.05E-11
-50,-4.2293234,8.05E-11
-50,-3.1015038,8.05E-11
-50,-1.9736842,8.26E-11
-50,-1.1278195,8.48E-11
-50,-0.28195488,8.26E-11
