VGS,VDS,ID
V,V,A
-50,-50,-6.2894735
-50,-49.24812,-6.2763157
-50,-48.026318,-6.2763157
-50,-47.18045,-6.2763157
-50,-45.864662,-6.2763157
-50,-44.830826,-6.25
-50,-43.890976,-6.25
-50,-42.857143,-6.2236843
-50,-41.917294,-6.2236843
-50,-40.789474,-6.2236843
-50,-39.943607,-6.1973686
-50,-39.097744,-6.1973686
-50,-38.06391,-6.1842103
-50,-37.030075,-6.1578946
-50,-36.18421,-6.118421
-50,-35.24436,-6.105263
-50,-34.210526,-6.0789475
-50,-32.894737,-6.0789475
-50,-32.142857,-6.0263157
-50,-31.109022,-6
-50,-29.981203,-5.9605265
-50,-29.229322,-5.881579
-50,-28.195488,-5.8421054
-50,-27.067669,-5.8026314
-50,-25.93985,-5.736842
-50,-25.18797,-5.644737
-50,-23.966166,-5.5657897
-50,-23.026316,-5.513158
-50,-22.086466,-5.355263
-50,-21.146616,-5.263158
-50,-20.206766,-5.1710525
-50,-19.266918,-5.0394735
-50,-18.045113,-4.881579
-50,-17.387218,-4.75
-50,-16.2594,-4.5657897
-50,-15.225564,-4.368421
-50,-14.097744,-4.1973686
-50,-13.157895,-4
-50,-12.31203,-3.7894738
-50,-11.278195,-3.5526316
-50,-10.244361,-3.2894738
-50,-9.398497,-3.0263157
-50,-8.082706,-2.7236843
-50,-7.236842,-2.4605262
-50,-6.2969923,-2.131579
-50,-5.357143,-1.7894737
-50,-4.2293234,-1.4736842
-50,-3.4774437,-1.1315789
-50,-2.537594,-0.75
-50,-1.1278195,-0.38157895
-50,-0.65789473,-0.2236842
-50,-0.09398496,-0.013157895
