VGS,VDS,ID
V,V,A
-20, -0,0
-20, -1,-8.35304e-07
-20, -2,-1.54038e-06
-20, -3,-2.08743e-06
-20, -4,-2.50091e-06
-20, -5,-2.80518e-06
-20, -6,-3.02477e-06
-20, -7,-3.17792e-06
-20, -8,-3.28271e-06
-20, -9,-3.35066e-06
-20, -10,-3.39281e-06
-20, -11,-3.41835e-06
-20, -12,-3.43259e-06
-20, -13,-3.44e-06
-20, -14,-3.44311e-06
-20, -15,-3.4439e-06
-20, -16,-3.44308e-06
-20, -17,-3.44158e-06
-20, -18,-3.43999e-06
-20, -19,-3.43752e-06
-20, -20,-3.43497e-06
-20, -21,-3.43258e-06
-20, -22,-3.43004e-06
-20, -23,-3.42791e-06
-20, -24,-3.42556e-06
-20, -25,-3.42326e-06
-20, -26,-3.42093e-06
-20, -27,-3.41861e-06
-20, -28,-3.41624e-06
-20, -29,-3.41411e-06
-20, -30,-3.41194e-06
-20, -31,-3.41003e-06
-20, -32,-3.4081e-06
-20, -33,-3.40637e-06
-20, -34,-3.40443e-06
-20, -35,-3.40243e-06
-20, -36,-3.40054e-06
-20, -37,-3.39888e-06
-20, -38,-3.39672e-06
-20, -39,-3.39491e-06
-20, -40,-3.39324e-06
-20, -41,-3.39139e-06
-20, -42,-3.38976e-06
-20, -43,-3.3882e-06
-20, -44,-3.38645e-06
-20, -45,-3.38471e-06
-20, -46,-3.38302e-06
-20, -47,-3.3815e-06
-20, -48,-3.37985e-06
-20, -49,-3.37858e-06
-20, -50,-3.37725e-06
-20, -51,-3.37573e-06
-20, -52,-3.3742e-06
-20, -53,-3.37284e-06
-20, -54,-3.37157e-06
-20, -55,-3.37024e-06
-20, -56,-3.3689e-06
-20, -57,-3.36754e-06
-20, -58,-3.36615e-06
-20, -59,-3.36491e-06
-20, -60,-3.36362e-06
-20, -61,-3.36212e-06
-20, -62,-3.36101e-06
-20, -63,-3.35977e-06
-20, -64,-3.35861e-06
-20, -65,-3.35762e-06
-20, -66,-3.35634e-06
-20, -67,-3.35503e-06
-20, -68,-3.35407e-06
-20, -69,-3.35316e-06
-20, -70,-3.35209e-06
-20, -71,-3.351e-06
-20, -72,-3.3501e-06
-20, -73,-3.34911e-06
-20, -74,-3.34819e-06
-20, -75,-3.34605e-06
-20, -76,-3.34516e-06
-20, -77,-3.34422e-06
-20, -78,-3.34328e-06
-20, -79,-3.34247e-06
-20, -80,-3.34156e-06
