VGS,VDS,ID
-2.4000000000E+01,-8.0000000000E+01,-1.7199220337E+01
-2.4000000000E+01,-7.9946631087E+01,-1.7199220336E+01
-2.4000000000E+01,-7.9893262175E+01,-1.7199220336E+01
-2.4000000000E+01,-7.9839893262E+01,-1.7199220336E+01
-2.4000000000E+01,-7.9786524350E+01,-1.7199220336E+01
-2.4000000000E+01,-7.9733155437E+01,-1.7199220335E+01
-2.4000000000E+01,-7.9679786524E+01,-1.7199220335E+01
-2.4000000000E+01,-7.9626417612E+01,-1.7199220335E+01
-2.4000000000E+01,-7.9573048699E+01,-1.7199220335E+01
-2.4000000000E+01,-7.9519679787E+01,-1.7199220334E+01
-2.4000000000E+01,-7.9466310874E+01,-1.7199220334E+01
-2.4000000000E+01,-7.9412941961E+01,-1.7199220334E+01
-2.4000000000E+01,-7.9359573049E+01,-1.7199220333E+01
-2.4000000000E+01,-7.9306204136E+01,-1.7199220333E+01
-2.4000000000E+01,-7.9252835223E+01,-1.7199220333E+01
-2.4000000000E+01,-7.9199466311E+01,-1.7199220332E+01
-2.4000000000E+01,-7.9146097398E+01,-1.7199220332E+01
-2.4000000000E+01,-7.9092728486E+01,-1.7199220332E+01
-2.4000000000E+01,-7.9039359573E+01,-1.7199220332E+01
-2.4000000000E+01,-7.8985990660E+01,-1.7199220331E+01
-2.4000000000E+01,-7.8932621748E+01,-1.7199220331E+01
-2.4000000000E+01,-7.8879252835E+01,-1.7199220331E+01
-2.4000000000E+01,-7.8825883923E+01,-1.7199220330E+01
-2.4000000000E+01,-7.8772515010E+01,-1.7199220330E+01
-2.4000000000E+01,-7.8719146097E+01,-1.7199220330E+01
-2.4000000000E+01,-7.8665777185E+01,-1.7199220329E+01
-2.4000000000E+01,-7.8612408272E+01,-1.7199220329E+01
-2.4000000000E+01,-7.8559039360E+01,-1.7199220329E+01
-2.4000000000E+01,-7.8505670447E+01,-1.7199220328E+01
-2.4000000000E+01,-7.8452301534E+01,-1.7199220328E+01
-2.4000000000E+01,-7.8398932622E+01,-1.7199220327E+01
-2.4000000000E+01,-7.8345563709E+01,-1.7199220327E+01
-2.4000000000E+01,-7.8292194797E+01,-1.7199220327E+01
-2.4000000000E+01,-7.8238825884E+01,-1.7199220326E+01
-2.4000000000E+01,-7.8185456971E+01,-1.7199220326E+01
-2.4000000000E+01,-7.8132088059E+01,-1.7199220325E+01
-2.4000000000E+01,-7.8078719146E+01,-1.7199220325E+01
-2.4000000000E+01,-7.8025350233E+01,-1.7199220325E+01
-2.4000000000E+01,-7.7971981321E+01,-1.7199220324E+01
-2.4000000000E+01,-7.7918612408E+01,-1.7199220324E+01
-2.4000000000E+01,-7.7865243496E+01,-1.7199220323E+01
-2.4000000000E+01,-7.7811874583E+01,-1.7199220323E+01
-2.4000000000E+01,-7.7758505670E+01,-1.7199220322E+01
-2.4000000000E+01,-7.7705136758E+01,-1.7199220322E+01
-2.4000000000E+01,-7.7651767845E+01,-1.7199220321E+01
-2.4000000000E+01,-7.7598398933E+01,-1.7199220321E+01
-2.4000000000E+01,-7.7545030020E+01,-1.7199220321E+01
-2.4000000000E+01,-7.7491661107E+01,-1.7199220320E+01
-2.4000000000E+01,-7.7438292195E+01,-1.7199220320E+01
-2.4000000000E+01,-7.7384923282E+01,-1.7199220319E+01
-2.4000000000E+01,-7.7331554370E+01,-1.7199220319E+01
-2.4000000000E+01,-7.7278185457E+01,-1.7199220318E+01
-2.4000000000E+01,-7.7224816544E+01,-1.7199220318E+01
-2.4000000000E+01,-7.7171447632E+01,-1.7199220317E+01
-2.4000000000E+01,-7.7118078719E+01,-1.7199220316E+01
-2.4000000000E+01,-7.7064709807E+01,-1.7199220316E+01
-2.4000000000E+01,-7.7011340894E+01,-1.7199220315E+01
-2.4000000000E+01,-7.6957971981E+01,-1.7199220315E+01
-2.4000000000E+01,-7.6904603069E+01,-1.7199220314E+01
-2.4000000000E+01,-7.6851234156E+01,-1.7199220314E+01
-2.4000000000E+01,-7.6797865243E+01,-1.7199220313E+01
-2.4000000000E+01,-7.6744496331E+01,-1.7199220312E+01
-2.4000000000E+01,-7.6691127418E+01,-1.7199220312E+01
-2.4000000000E+01,-7.6637758506E+01,-1.7199220311E+01
-2.4000000000E+01,-7.6584389593E+01,-1.7199220311E+01
-2.4000000000E+01,-7.6531020680E+01,-1.7199220310E+01
-2.4000000000E+01,-7.6477651768E+01,-1.7199220309E+01
-2.4000000000E+01,-7.6424282855E+01,-1.7199220309E+01
-2.4000000000E+01,-7.6370913943E+01,-1.7199220308E+01
-2.4000000000E+01,-7.6317545030E+01,-1.7199220307E+01
-2.4000000000E+01,-7.6264176117E+01,-1.7199220307E+01
-2.4000000000E+01,-7.6210807205E+01,-1.7199220306E+01
-2.4000000000E+01,-7.6157438292E+01,-1.7199220305E+01
-2.4000000000E+01,-7.6104069380E+01,-1.7199220305E+01
-2.4000000000E+01,-7.6050700467E+01,-1.7199220304E+01
-2.4000000000E+01,-7.5997331554E+01,-1.7199220303E+01
-2.4000000000E+01,-7.5943962642E+01,-1.7199220302E+01
-2.4000000000E+01,-7.5890593729E+01,-1.7199220302E+01
-2.4000000000E+01,-7.5837224817E+01,-1.7199220301E+01
-2.4000000000E+01,-7.5783855904E+01,-1.7199220300E+01
-2.4000000000E+01,-7.5730486991E+01,-1.7199220299E+01
-2.4000000000E+01,-7.5677118079E+01,-1.7199220298E+01
-2.4000000000E+01,-7.5623749166E+01,-1.7199220298E+01
-2.4000000000E+01,-7.5570380254E+01,-1.7199220297E+01
-2.4000000000E+01,-7.5517011341E+01,-1.7199220296E+01
-2.4000000000E+01,-7.5463642428E+01,-1.7199220295E+01
-2.4000000000E+01,-7.5410273516E+01,-1.7199220294E+01
-2.4000000000E+01,-7.5356904603E+01,-1.7199220293E+01
-2.4000000000E+01,-7.5303535690E+01,-1.7199220292E+01
-2.4000000000E+01,-7.5250166778E+01,-1.7199220292E+01
-2.4000000000E+01,-7.5196797865E+01,-1.7199220291E+01
-2.4000000000E+01,-7.5143428953E+01,-1.7199220290E+01
-2.4000000000E+01,-7.5090060040E+01,-1.7199220289E+01
-2.4000000000E+01,-7.5036691127E+01,-1.7199220288E+01
-2.4000000000E+01,-7.4983322215E+01,-1.7199220287E+01
-2.4000000000E+01,-7.4929953302E+01,-1.7199220286E+01
-2.4000000000E+01,-7.4876584390E+01,-1.7199220285E+01
-2.4000000000E+01,-7.4823215477E+01,-1.7199220284E+01
-2.4000000000E+01,-7.4769846564E+01,-1.7199220283E+01
-2.4000000000E+01,-7.4716477652E+01,-1.7199220282E+01
-2.4000000000E+01,-7.4663108739E+01,-1.7199220281E+01
-2.4000000000E+01,-7.4609739827E+01,-1.7199220279E+01
-2.4000000000E+01,-7.4556370914E+01,-1.7199220278E+01
-2.4000000000E+01,-7.4503002001E+01,-1.7199220277E+01
-2.4000000000E+01,-7.4449633089E+01,-1.7199220276E+01
-2.4000000000E+01,-7.4396264176E+01,-1.7199220275E+01
-2.4000000000E+01,-7.4342895264E+01,-1.7199220274E+01
-2.4000000000E+01,-7.4289526351E+01,-1.7199220273E+01
-2.4000000000E+01,-7.4236157438E+01,-1.7199220271E+01
-2.4000000000E+01,-7.4182788526E+01,-1.7199220270E+01
